id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-439357,2023-02-01,000001,Vente,430000,74,,RUE CHRISTIAN DIOR,1319,34090,34172,Montpellier,34,,,34172000TE0224,,,,,,,,,,,,,0,1,Maison,94,5,S,sols,,,175,3.84331,43.637833
2023-439364,2023-02-03,000001,Vente,215000,3,,RUE VIRGINIE MONTAGNOL,5846,34080,34172,Montpellier,34,,,34172000KZ0148,,,,,,,,,,,,,0,1,Maison,62,3,S,sols,,,164,3.828066,43.617335
2023-439365,2023-01-18,000001,Vente,196000,9,,QUAI DES TANNEURS,5440,34090,34172,Montpellier,34,,,34172000BZ0328,,,33,,66,,,,,,,,2,3,Dépendance,,0,,,,,,3.875986,43.615973
2023-439365,2023-01-18,000001,Vente,196000,9,,QUAI DES TANNEURS,5440,34090,34172,Montpellier,34,,,34172000BZ0328,,,33,,66,,,,,,,,2,2,Appartement,39,2,,,,,,3.875986,43.615973
2023-439374,2023-01-16,000001,Vente,64000,21,,RUE CLAUDE BROUSSON,1394,34000,34172,Montpellier,34,,,34172000CR0274,,,66,,88,16.52,,,,,,,2,3,Dépendance,,0,,,,,,3.9008,43.617566
2023-439374,2023-01-16,000001,Vente,64000,21,,RUE CLAUDE BROUSSON,1394,34000,34172,Montpellier,34,,,34172000CR0274,,,332,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.9008,43.617566
2023-439374,2023-01-16,000001,Vente,64000,21,,RUE CLAUDE BROUSSON,1394,34000,34172,Montpellier,34,,,34172000CR0274,,,66,,88,16.52,,,,,,,2,2,Appartement,17,1,,,,,,3.9008,43.617566
2023-439381,2023-01-18,000001,Vente,84000,129,,ALL DU BON ACCUEIL,0745,34090,34172,Montpellier,34,,,34172000BN0225,,,6,21.68,,,,,,,,,1,2,Appartement,21,1,,,,,,3.871045,43.628643
2023-439381,2023-01-18,000001,Vente,84000,129,,ALL DU BON ACCUEIL,0745,34090,34172,Montpellier,34,,,34172000BN0225,,,336,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.871045,43.628643
2023-439386,2023-01-24,000001,Vente,293620,46,,RUE FRANCOIS HENRY D'HARCOURT,8190,34080,34172,Montpellier,34,,,34172000TL0206,,,148,,,,,,,,,,1,2,Appartement,80,4,,,,,,3.83258,43.632836
2023-439386,2023-01-24,000001,Vente,293620,22,,RUE FRANCOIS HENRY D'HARCOURT,8190,34080,34172,Montpellier,34,,,34172000TL0206,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.83258,43.632836
2023-439386,2023-01-24,000001,Vente,293620,22,,RUE FRANCOIS HENRY D'HARCOURT,8190,34080,34172,Montpellier,34,,,34172000TL0206,,,38,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.83258,43.632836
2023-439392,2023-01-25,000001,Vente,448433,6,,RUE ANTERRIEU,0295,34070,34172,Montpellier,34,,,34172000HX0341,,,,,,,,,,,,,0,1,Maison,124,5,S,sols,,,406,3.864875,43.606155
2023-439394,2023-01-26,000001,Vente,144250,66,,RTE DE LODEVE,3295,34080,34172,Montpellier,34,,,34172000KZ0353,,,243,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.824806,43.615382
2023-439394,2023-01-26,000001,Vente,144250,66,,RTE DE LODEVE,3295,34080,34172,Montpellier,34,,,34172000KZ0353,,,191,,210,,,,,,,,2,3,Dépendance,,0,,,,,,3.824806,43.615382
2023-439394,2023-01-26,000001,Vente,144250,66,,RTE DE LODEVE,3295,34080,34172,Montpellier,34,,,34172000KZ0353,,,191,,210,,,,,,,,2,2,Appartement,67,3,,,,,,3.824806,43.615382
2023-439395,2023-01-12,000001,Vente en l'état futur d'achèvement,199000,218,,AV DE LODEVE,3290,34080,34172,Montpellier,34,,,34172000KV0088,,,15,,,,,,,,,,1,,,,,,,,,,3.835482,43.614787
2023-439395,2023-01-12,000001,Vente en l'état futur d'achèvement,199000,218,,AV DE LODEVE,3290,34080,34172,Montpellier,34,,,34172000KV0088,,,94,,,,,,,,,,1,,,,,,,,,,3.835482,43.614787
2023-439397,2023-02-01,000001,Vente,94000,70,,RUE DE LA MOUNEDA,3890,34090,34172,Montpellier,34,,,34172000MX0010,,,283,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.84733,43.631203
2023-439397,2023-02-01,000001,Vente,94000,60,,RUE DE LA MOUNEDA,3890,34090,34172,Montpellier,34,,,34172000MX0010,,,107,18.6,,,,,,,,,1,2,Appartement,18,1,,,,,,3.84733,43.631203
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,14,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,2,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,15,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,1,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,4,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,13,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,28,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439399,2023-01-19,000001,Vente en l'état futur d'achèvement,1134540,,,,,,34172,Montpellier,34,,,34172000SC0264,,,27,,,,,,,,,,1,,,,,,,,,,3.90416,43.595977
2023-439401,2023-01-24,000001,Vente en l'état futur d'achèvement,243305,690,,RUE ALFRED NOBEL,0193,34000,34172,Montpellier,34,,,34172000RX0369,,,93,,,,,,,,,,1,,,,,,,,,,3.912008,43.610265
2023-439401,2023-01-24,000001,Vente en l'état futur d'achèvement,243305,690,,RUE ALFRED NOBEL,0193,34000,34172,Montpellier,34,,,34172000RX0369,,,137,,,,,,,,,,1,,,,,,,,,,3.912008,43.610265
